id,name,domain,status,kind,family
AOA-T-0001,plan-diff-apply-verify-report,agent-workflows,canonical,workflow,agent-workflows-core
AOA-T-0002,source-of-truth-layout,docs,canonical,artifact,docs-boundary
AOA-T-0003,contract-first-smoke-summary,evaluation,canonical,validation,evaluation-chain
AOA-T-0004,intent-plan-dry-run-contract-chain,agent-workflows,canonical,workflow,intent-chain
AOA-T-0005,new-intent-rollout-checklist,agent-workflows,promoted,guardrail,intent-chain
AOA-T-0006,latest-alias-plus-history-copy,evaluation,canonical,artifact,published-summary
AOA-T-0007,signal-first-gate-promotion,evaluation,canonical,guardrail,evaluation-chain
AOA-T-0008,published-summary-remediation-snapshot,evaluation,canonical,lift,published-summary
AOA-T-0009,lightweight-status-snapshot,docs,canonical,artifact,docs-boundary
AOA-T-0010,telemetry-integrity-snapshot,evaluation,canonical,validation,published-summary
AOA-T-0011,required-vs-optional-source-rendering,evaluation,canonical,guardrail,published-summary
AOA-T-0012,deterministic-context-composition,docs,canonical,composition,instruction-surface
AOA-T-0013,single-source-rule-distribution,docs,canonical,distribution,instruction-surface
AOA-T-0014,tdd-slice,agent-workflows,canonical,workflow,agent-workflows-core
AOA-T-0015,contract-test-design,evaluation,canonical,validation,skill-support
AOA-T-0016,bounded-context-map,docs,canonical,artifact,skill-support
AOA-T-0017,property-invariants,evaluation,canonical,validation,skill-support
AOA-T-0018,markdown-technique-section-lift,docs,canonical,lift,kag-source-lift
AOA-T-0019,frontmatter-metadata-spine,docs,canonical,lift,kag-source-lift
AOA-T-0020,evidence-note-provenance-lift,docs,promoted,lift,kag-source-lift
AOA-T-0021,bounded-relation-lift-for-kag,docs,canonical,lift,kag-source-lift
AOA-T-0022,risk-and-negative-effect-lift,docs,promoted,lift,kag-source-lift
AOA-T-0023,stateless-single-shot-agent,agent-workflows,canonical,workflow,agent-workflows-core
AOA-T-0024,upstream-mirroring-with-provenance,docs,promoted,distribution,instruction-surface
AOA-T-0025,capability-spec-versioning,docs,promoted,artifact,capability-registry
AOA-T-0026,session-capture-as-repo-artifact,history,promoted,artifact,history-artifacts
AOA-T-0027,cross-agent-skill-propagation,docs,promoted,distribution,instruction-surface
AOA-T-0028,confirmation-gated-mutating-action,agent-workflows,canonical,guardrail,agent-workflows-core
AOA-T-0029,nested-rule-loading,docs,promoted,composition,instruction-surface
AOA-T-0030,fragmented-agent-context,docs,promoted,composition,instruction-surface
AOA-T-0031,shell-composable-agent-invocation,agent-workflows,canonical,composition,agent-workflows-core
AOA-T-0032,context-report-for-ci,evaluation,promoted,validation,evaluation-chain
AOA-T-0033,decision-rationale-recording,docs,promoted,artifact,docs-boundary
AOA-T-0034,public-safe-artifact-sanitization,docs,canonical,guardrail,docs-boundary
AOA-T-0035,profile-preset-composition,docs,promoted,composition,instruction-surface
AOA-T-0036,render-truth-before-startup,agent-workflows,promoted,composition,runtime-truth-lifecycle
AOA-T-0037,contextual-host-doctor,evaluation,promoted,validation,runtime-truth-lifecycle
AOA-T-0038,one-command-service-lifecycle,agent-workflows,promoted,workflow,runtime-truth-lifecycle
AOA-T-0039,baseline-first-additive-profile-benchmarks,evaluation,promoted,validation,runtime-truth-lifecycle
AOA-T-0040,skill-vs-command-boundary,docs,promoted,guardrail,capability-boundary
AOA-T-0041,skill-marketplace-curation,docs,promoted,discovery,skill-discovery
AOA-T-0042,upstream-skill-health-checking,evaluation,promoted,validation,skill-discovery
AOA-T-0043,multi-source-primary-input-provenance,docs,promoted,guardrail,capability-boundary
AOA-T-0044,versionable-session-transcripts,history,canonical,artifact,history-artifacts
AOA-T-0045,witness-trace-as-reviewable-artifact,history,promoted,artifact,history-artifacts
AOA-T-0046,repo-doc-surface-lift,docs,promoted,lift,kag-source-lift
AOA-T-0047,github-review-template-lift,docs,promoted,lift,kag-source-lift
AOA-T-0048,semantic-review-surface-lift,docs,promoted,lift,kag-source-lift
AOA-T-0049,dependency-aware-task-graph,agent-workflows,promoted,workflow,ready-work-graphs
AOA-T-0050,ready-work-from-blocker-graph,agent-workflows,promoted,workflow,ready-work-graphs
AOA-T-0051,commit-triggered-background-review,agent-workflows,promoted,workflow,review-compaction
AOA-T-0052,review-findings-compaction,agent-workflows,promoted,handoff,review-compaction
AOA-T-0053,local-first-session-index,history,canonical,artifact,history-artifacts
AOA-T-0054,compaction-resilient-skill-loading,agent-workflows,promoted,handoff,review-compaction
AOA-T-0055,requirements-design-tasks-ladder,agent-workflows,promoted,workflow,ready-work-graphs
AOA-T-0056,channelized-agent-mailbox,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0057,structured-handoff-before-compaction,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0058,receipt-confirmed-handoff-packet,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0059,git-verified-handoff-claims,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0060,session-opening-ritual-before-work,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0061,cross-repo-resource-map-bootstrap,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0062,episode-bounded-agent-loop,agent-workflows,promoted,handoff,handoff-continuation
AOA-T-0063,versioned-agent-registry-contract,docs,promoted,artifact,capability-registry
AOA-T-0064,capability-discovery,docs,promoted,discovery,capability-registry
AOA-T-0065,mcp-gateway-proxy,agent-workflows,promoted,composition,tool-gateway
AOA-T-0066,transcript-replay-artifact,history,promoted,artifact,history-artifacts
AOA-T-0067,transcript-linked-code-lineage,history,promoted,artifact,history-artifacts
AOA-T-0068,fail-closed-evidence-gate,agent-workflows,promoted,guardrail,approval-evidence
AOA-T-0069,approval-bound-durable-jobs,agent-workflows,promoted,handoff,approval-evidence
AOA-T-0070,two-stage-document-ocr-pipeline,agent-workflows,promoted,ingest,media-ingest
AOA-T-0071,template-backed-field-extraction-after-ocr,agent-workflows,promoted,ingest,media-ingest
AOA-T-0072,perceptual-media-dedupe-with-threshold-review,agent-workflows,promoted,ingest,media-ingest
AOA-T-0073,semantic-media-bucketing-with-vision-plus-ocr,agent-workflows,promoted,ingest,media-ingest
AOA-T-0074,telegram-export-normalization-to-local-store,agent-workflows,promoted,ingest,media-ingest
AOA-T-0075,session-donor-harvest,agent-workflows,promoted,lift,donor-harvest
AOA-T-0076,owner-layer-triage,agent-workflows,promoted,assessment,decision-routing
AOA-T-0077,harvest-packet-contract,agent-workflows,promoted,handoff,donor-harvest
AOA-T-0078,decision-fork-cards,agent-workflows,promoted,assessment,decision-routing
AOA-T-0079,risk-passport-lift,agent-workflows,promoted,assessment,decision-routing
AOA-T-0080,session-drift-taxonomy,agent-workflows,promoted,assessment,diagnosis-repair
AOA-T-0081,diagnosis-from-reviewed-evidence,agent-workflows,promoted,assessment,diagnosis-repair
AOA-T-0082,repair-shape-from-diagnosis,agent-workflows,promoted,recovery,diagnosis-repair
AOA-T-0083,checkpoint-bound-self-repair,agent-workflows,promoted,recovery,diagnosis-repair
AOA-T-0084,progression-evidence-lift,agent-workflows,promoted,lift,donor-harvest
AOA-T-0085,multi-axis-quest-overlay,agent-workflows,promoted,artifact,donor-harvest
AOA-T-0086,automation-fit-matrix,agent-workflows,promoted,assessment,automation-governance
AOA-T-0087,human-loop-to-seed-lift,agent-workflows,promoted,assessment,automation-governance
AOA-T-0088,approval-sensitivity-check,agent-workflows,promoted,assessment,automation-governance
AOA-T-0089,quest-unit-promotion-review,agent-workflows,promoted,assessment,automation-governance
AOA-T-0090,nearest-wrong-target-rejection,agent-workflows,promoted,guardrail,automation-governance
AOA-T-0091,workspace-root-ingress-and-mutation-gate,agent-workflows,promoted,guardrail,owner-truth-closeout
AOA-T-0092,audit-to-closeout-proof-loop,agent-workflows,promoted,workflow,owner-truth-closeout
AOA-T-0093,recommendation-truth-vs-host-actionability,agent-workflows,promoted,guardrail,capability-boundary
AOA-T-0094,canonical-owner-with-validated-mirror,docs,promoted,distribution,owner-truth-closeout
AOA-T-0095,github-only-owner-endcap-with-reality-sync,agent-workflows,promoted,workflow,owner-truth-closeout
AOA-T-0096,pinned-validation-matrix-before-generated-publish,agent-workflows,promoted,validation,owner-truth-closeout
AOA-T-0097,degrade-reground-recover,system-recovery,promoted,recovery,antifragility-recovery
AOA-T-0098,receipt-first-failure-analysis,validation-patterns,promoted,validation,antifragility-recovery
